onset_type,ref_timestamp,live_timestamp,time_difference_ms,ref_pitch_hz,live_pitch_hz,pitch_similarity,is_matched
correct,0.5573,0.5805,-23.22,465.43,464.7,0.987,True
late,0.8359,0.8824,-46.44,415.47,415.52,0.999,True
correct,1.1146,1.161,-46.44,369.59,369.53,0.999,True
late,1.37,1.4629,-92.88,349.26,348.95,0.992,True
correct,1.6486,1.7415,-92.88,311.26,311.26,1.0,True
correct,2.2059,2.2988,-92.88,311.31,299.41,0.714,True
late,2.4613,2.5774,-116.1,324.09,352.19,0.487,True
late,2.74,2.8793,-139.32,369.77,366.93,0.935,True
correct,3.0186,3.1579,-139.32,465.74,465.92,0.997,True
late,3.2972,3.4598,-162.54,415.56,415.66,0.998,True
late,3.8313,4.0171,-185.76,415.42,416.63,0.975,True
late,4.1099,4.3189,-208.98,369.64,369.18,0.989,True
correct,4.3886,4.5976,-208.98,348.98,346.28,0.935,True
late,4.644,4.8762,-232.2,277.27,277.0,0.991,True
late,4.9226,5.178,-255.42,309.51,311.6,0.943,True
correct,5.4799,5.7353,-255.42,311.32,301.01,0.747,True
late,5.7353,6.0372,-301.86,348.88,349.56,0.983,True
correct,6.014,6.3158,-301.86,369.72,369.47,0.994,True
correct,6.2926,6.5945,-301.86,465.74,465.8,0.999,True
late,6.5712,6.8963,-325.08,415.57,415.5,0.999,True
late,6.8267,7.175,-348.3,413.93,416.04,0.957,True
correct,7.1053,7.4536,-348.3,414.88,416.5,0.967,True
correct,7.3839,7.7322,-348.3,369.63,369.81,0.996,True
late,7.6626,8.0341,-371.52,348.96,349.13,0.996,True
late,7.918,8.3127,-394.74,277.3,277.44,0.996,True
correct,8.1966,8.5914,-394.74,309.51,311.85,0.937,True
