onset_timestamp,pitch,change_type
0.0,70,no_change
0.545,70,no_change
0.818,68,no_change
1.091,66,no_change
1.364,65,no_change
1.636,63,no_change
2.182,63,no_change
2.455,65,no_change
2.727,66,no_change
3.823,68,no_change
4.368,68,no_change
4.641,66,no_change
4.914,65,no_change
5.186,61,no_change
5.459,63,no_change
6.005,63,no_change
6.277,65,no_change
6.55,66,no_change
6.823,70,no_change
7.095,68,no_change
7.368,68,no_change
7.641,68,no_change
7.914,66,no_change
8.186,65,no_change
8.459,61,no_change
8.732,63,no_change
3.0,70,late
